Misc script stats,CODE chunk size,presence of backward jump,presence of switch instruction
422,size=60,loop=False,switch=True
423,size=31F8,loop=False,switch=True
425,size=49E4,loop=False,switch=True
426,size=193C,loop=False,switch=True
427,size=BC4,loop=False,switch=True
428,size=CD4,loop=False,switch=True
429,size=5418,loop=False,switch=True
42A,size=CD8,loop=False,switch=True
42B,size=4320,loop=False,switch=True
42C,size=13EC,loop=False,switch=True
42D,size=13EC,loop=False,switch=True
42E,size=13F8,loop=False,switch=True
42F,size=13F8,loop=False,switch=True
430,size=14B4,loop=False,switch=True
431,size=1408,loop=False,switch=True
432,size=13F4,loop=False,switch=True
433,size=1CA8,loop=False,switch=True
434,size=A78,loop=False,switch=True
435,size=D6C,loop=False,switch=True
436,size=1D08,loop=False,switch=True
437,size=C18,loop=False,switch=True
438,size=BC4,loop=False,switch=True
439,size=19C0,loop=False,switch=True
43A,size=904,loop=False,switch=True
43B,size=BD4,loop=False,switch=True
43C,size=1A10,loop=False,switch=True
43D,size=94C,loop=False,switch=True
43E,size=284C,loop=False,switch=True
43F,size=12C4,loop=True,switch=True
440,size=1B94,loop=False,switch=True
441,size=A4C,loop=False,switch=True
442,size=1270,loop=False,switch=True
443,size=1394,loop=False,switch=True
444,size=BB4,loop=False,switch=True
445,size=AA0,loop=False,switch=True
446,size=F7C,loop=False,switch=True
447,size=4854,loop=False,switch=True
448,size=3FB4,loop=False,switch=True
449,size=D58,loop=False,switch=True
44A,size=F08,loop=False,switch=True
44B,size=9EC,loop=False,switch=True
44C,size=CB8,loop=False,switch=True
44D,size=293C,loop=True,switch=True
44F,size=2BC,loop=True,switch=True
450,size=154,loop=False,switch=True
451,size=2B4,loop=False,switch=True
452,size=140,loop=False,switch=True
453,size=2F4,loop=False,switch=True
454,size=2F4,loop=False,switch=True
455,size=1F4,loop=False,switch=True
456,size=86C,loop=False,switch=True
457,size=728,loop=True,switch=True
458,size=C30,loop=True,switch=True
459,size=548,loop=False,switch=True
45A,size=864,loop=False,switch=True
45B,size=864,loop=False,switch=True
45C,size=300,loop=False,switch=True
45D,size=390,loop=False,switch=True
45E,size=1D0,loop=False,switch=True
45F,size=2038,loop=False,switch=True
460,size=500,loop=False,switch=True
461,size=3BC,loop=True,switch=True
462,size=119C,loop=True,switch=True
463,size=138,loop=False,switch=True
464,size=124,loop=False,switch=True
465,size=220,loop=False,switch=True
466,size=130,loop=False,switch=True
467,size=14C,loop=False,switch=True
468,size=538,loop=False,switch=True
469,size=538,loop=False,switch=True
46A,size=10C4,loop=True,switch=True
46B,size=19E50,loop=True,switch=True
46C,size=5C,loop=False,switch=True
470,size=1A44,loop=True,switch=True
487,size=314,loop=False,switch=True
4A1,size=DC,loop=False,switch=True
4B4,size=3C8,loop=False,switch=True
4B8,size=1310,loop=False,switch=True
4B9,size=888,loop=False,switch=True
4BA,size=38C,loop=False,switch=True
4CA,size=8B0,loop=True,switch=False
4CB,size=4CC,loop=False,switch=True
4DC,size=53C,loop=True,switch=False
4E8,size=1B4,loop=False,switch=True
4F9,size=5E8,loop=False,switch=True
4FB,size=5A0,loop=False,switch=True
4FC,size=5A0,loop=False,switch=True
501,size=59C,loop=False,switch=True
502,size=5B8,loop=False,switch=True
503,size=230,loop=False,switch=True
50D,size=20C,loop=False,switch=True
524,size=1CC,loop=False,switch=True
52A,size=140,loop=False,switch=True
52B,size=718,loop=False,switch=True
52C,size=3F4,loop=False,switch=True
52D,size=310,loop=False,switch=True
